rep_id,trial,acq_type,De_sigma_MoS,De_pi_MoS,p_be1_MoS,p_be2_MoS,p_bo1_MoS,p_bo2_MoS,p_bo3_MoS,p_bo4_MoS,p_bo5_MoS,p_bo6_MoS,p_ovun1_MoS,Dij_MoS,RvdW_MoS,Alfa_MoS,ro_sigma_MoS,Thetao_SMoS,Thetao_MoSMo,p_val1_SMoS,p_val1_MoSMo,p_val2_SMoS,p_val7_SMoS,p_val4_SMoS,Mo_RvdW,Mo_Dij,Mo_gamma,Mo_Alfa,Mo_gamma_w,S_RvdW,S_Dij,S_gamma,S_Alfa,S_gamma_w,Mo_p_boc4,Mo_p_boc3,Mo_p_boc5,Mo_p_ovun2,Mo_p_val3,Mo_p_val5,S_p_ovun2,S_p_val3,loss_eV
82,82,LCB,32.152377,90.262091,0.277026,1.903478,-0.185895,5.628186,-0.085955,4.559858,-0.256718,3.668919,0.058845,0.055068,1.040720,8.268596,2.805785,67.521682,22.182892,159.318470,17.641871,1.125336,0.394455,1.115882,0.907534,0.325188,0.279587,30.965597,61.656835,1.531852,0.036450,0.795315,9.023303,0.924140,1.119557,0.051277,1.205358,-22.585850,0.488764,0.609204,-18.375976,2.316411,5.220439
83,83,LCB,27.709426,149.924057,0.147307,1.740216,-0.155099,3.793509,-0.217752,6.647705,-0.177002,3.035334,0.044366,0.056931,0.997642,7.952679,2.901514,64.365094,25.704263,145.927321,22.101503,1.130286,0.440902,1.763223,0.818513,0.281389,0.358313,37.781549,59.163306,1.551020,0.036068,0.851171,9.848634,1.007981,1.389295,0.052410,0.982913,-21.711975,0.769247,0.753544,-16.290240,2.251669,5.000156
84,84,LCB,28.427411,94.660896,0.186827,1.836622,-0.132300,5.127099,-0.147810,6.645002,-0.147873,3.437420,0.071051,0.066729,1.022842,7.606267,2.987493,65.142097,22.233484,151.022632,27.304464,0.880268,0.469505,1.358981,0.885002,0.312633,0.310917,30.605450,52.562944,1.612529,0.031094,0.794359,9.137035,0.806588,1.128853,0.068150,1.155477,-22.125004,0.630496,0.640174,-19.611408,3.580306,4.153475
85,85,LCB,29.252147,129.725599,0.290064,1.015747,-0.136719,6.126959,-0.161166,6.651864,-0.139727,4.649589,0.038118,0.066252,1.018880,6.896736,3.072892,63.619715,22.701632,151.525510,24.271093,0.842718,0.340336,1.640936,0.866931,0.191571,0.328359,36.797344,52.387716,1.484186,0.035083,0.831553,10.854917,0.968609,1.081830,0.105529,1.268529,-14.579843,0.708543,0.605157,-16.174856,3.161061,4.342233
86,86,LCB,36.993161,140.478906,0.168296,0.843911,-0.161101,3.701687,-0.163318,10.744640,-0.284965,3.123224,0.026753,0.058676,1.081537,7.242879,3.078030,70.514956,26.214711,135.703999,17.321133,0.984607,0.351014,1.750070,0.816102,0.315995,0.323182,33.801782,49.084322,1.519730,0.027134,0.725725,10.666303,0.990205,0.749267,0.053103,1.020825,-20.152333,0.552837,0.656838,-17.134861,2.990323,4.988758
87,87,LCB,28.938581,90.248420,0.272331,0.849791,-0.226006,5.308045,-0.194381,5.519883,-0.177947,3.847382,0.029880,0.055447,0.979314,7.514142,2.909475,68.874254,23.106347,163.812927,21.551843,1.073261,0.368515,1.464710,0.919800,0.324754,0.293028,36.339751,59.567582,1.608847,0.034350,0.695816,9.286977,0.793251,1.206684,0.078004,1.067061,-14.053310,0.605719,0.666494,-15.281341,2.342215,5.276070
88,88,LCB,33.726557,145.942833,0.217721,2.069437,-0.193077,5.531142,-0.173913,9.339436,-0.123071,2.270357,0.049082,0.053843,1.015594,8.037063,2.960145,69.017723,25.338034,152.055281,22.984746,1.058483,0.394716,1.455884,0.888407,0.300806,0.280806,31.914103,44.986745,1.546030,0.040436,0.851770,11.123040,1.018067,1.413877,0.097644,1.295302,-16.329437,0.445542,0.689843,-16.044852,3.040695,4.952114
89,89,LCB,24.517957,108.563503,0.145823,1.909284,-0.164521,4.524100,-0.248564,6.215010,-0.198784,4.102689,0.028055,0.055896,1.089968,8.261059,2.811037,65.243704,22.326057,162.671629,21.249852,1.021263,0.409620,1.104018,0.849741,0.265834,0.316235,36.861160,50.361423,1.491494,0.031699,0.830837,8.928028,0.967921,0.982000,0.053227,1.067527,-15.672584,0.563086,0.609568,-15.224534,3.435167,4.670175
90,90,LCB,28.906418,126.801167,0.199278,1.214782,-0.222849,3.406618,-0.141561,9.746110,-0.215359,2.402966,0.053802,0.059834,1.111947,8.448130,2.830571,66.468819,22.867238,150.993655,22.622994,0.896417,0.441014,1.558186,0.899074,0.233411,0.341298,37.962676,56.806904,1.577873,0.035951,0.787374,9.316069,0.882865,1.026837,0.054158,1.232517,-20.723773,0.469336,0.702931,-15.687408,2.454904,4.749685
91,91,LCB,29.780448,90.874301,0.208390,0.675301,-0.207157,5.688475,-0.229485,6.929496,-0.173294,3.446151,0.069080,0.055732,1.104726,7.671998,3.005002,70.018304,25.977838,149.150685,23.050425,0.833237,0.482963,1.597907,0.838654,0.263913,0.326028,32.149334,51.061353,1.550441,0.035972,0.725040,10.219728,0.910935,1.317474,0.081462,0.878991,-21.501564,0.714009,0.654085,-13.184978,3.502235,5.070229
92,92,LCB,31.119966,128.871259,0.292392,2.184553,-0.217007,4.099921,-0.148972,5.760286,-0.159298,3.911198,0.045137,0.069530,1.000912,8.220590,2.880496,67.858215,23.646477,121.331128,23.447625,0.928599,0.409976,1.539891,0.829080,0.254759,0.321835,32.276606,51.081872,1.622359,0.033006,0.753555,9.788073,0.936858,1.483641,0.050000,0.975482,-21.265928,0.616887,0.611917,-19.451822,2.496996,4.635069
93,93,LCB,30.531906,92.603388,0.258187,0.803426,-0.211453,3.848720,-0.171910,6.372741,-0.267744,2.811788,0.028113,0.063335,1.044740,6.751848,2.960790,69.326401,22.381901,164.327625,24.488751,0.945149,0.419055,1.703354,0.876076,0.273794,0.285477,37.795669,41.929502,1.445512,0.037835,0.841893,10.739404,0.945889,0.992055,0.042803,0.859537,-19.416419,0.670438,0.727710,-19.112857,3.296290,4.357259
94,94,LCB,25.005376,101.601115,0.259859,1.596698,-0.225593,6.092296,-0.091005,9.267934,-0.152358,4.310748,0.055889,0.066754,0.985799,7.949092,2.847575,66.233602,24.062051,151.330166,27.258826,0.841922,0.444630,1.782704,0.899390,0.219991,0.340533,36.711688,45.558818,1.444076,0.037372,0.681682,8.597257,0.914610,0.972403,0.033712,0.858228,-16.066278,0.526618,0.791157,-18.040982,3.136770,5.023878
95,95,LCB,33.668663,121.710382,0.254199,0.915522,-0.140065,5.651470,-0.079959,9.857358,-0.177298,3.930075,0.035271,0.068240,1.114929,7.295177,2.937563,64.601162,26.439053,118.753452,17.001754,1.010120,0.421575,1.240548,0.813899,0.329734,0.310739,35.013856,49.712253,1.539498,0.036640,0.851846,9.425648,1.004822,1.242279,0.101680,1.068411,-16.403752,0.447800,0.546826,-19.600580,2.434373,4.700132
96,96,LCB,24.245614,100.096725,0.189109,0.917620,-0.217669,4.092241,-0.164400,5.801479,-0.239576,3.530009,0.023806,0.061841,1.099567,7.212249,3.012612,67.027529,23.280506,140.077266,25.326415,0.929702,0.479393,1.662134,0.894175,0.191752,0.282941,31.775067,55.542342,1.605091,0.042332,0.712462,9.563884,0.939798,1.250378,0.057280,0.953499,-16.465502,0.469238,0.769544,-14.778286,2.743329,4.845251
97,97,LCB,33.832066,130.195248,0.181107,0.715076,-0.185983,4.757482,-0.194020,8.022097,-0.233599,3.275699,0.064985,0.061137,1.080775,8.259578,2.984489,64.587438,26.377600,158.274706,18.969727,0.752047,0.334847,1.544147,0.858124,0.317354,0.334428,37.170472,43.941529,1.560163,0.039844,0.691347,11.025040,1.017482,0.912852,0.053293,0.755987,-16.051302,0.482430,0.784958,-18.058638,2.857327,4.534514
98,98,LCB,33.151455,142.432293,0.239651,0.989358,-0.188066,3.248422,-0.127992,6.530328,-0.285003,3.584438,0.063071,0.061190,1.022535,7.201413,2.885096,68.736097,22.343886,138.521586,26.670352,1.114874,0.515512,1.584547,0.826170,0.316507,0.278893,33.882446,59.314470,1.603718,0.030903,0.778708,9.674274,0.941133,1.160511,0.082517,0.834856,-23.105315,0.532821,0.801266,-15.290939,3.573030,4.443539
99,99,LCB,26.865569,107.011873,0.161402,0.685894,-0.158445,5.591286,-0.237897,6.043019,-0.221455,3.479051,0.070334,0.058923,1.076823,7.864053,3.070544,68.171358,23.837474,162.736321,25.616516,0.851116,0.472584,1.780674,0.893732,0.308787,0.321464,30.661562,59.771027,1.469294,0.032506,0.826133,9.342998,0.912608,0.887056,0.083091,0.654359,-13.692130,0.586718,0.592352,-19.016140,3.292148,4.387182
100,100,LCB,23.330947,143.189850,0.143504,0.820141,-0.142670,5.060921,-0.196797,5.296853,-0.241779,2.287869,0.050129,0.067758,0.995736,8.342151,2.995445,66.501576,22.185302,150.485862,20.518302,0.927386,0.407203,1.771264,0.870486,0.262247,0.329903,30.031088,44.844800,1.553273,0.034165,0.833757,9.470066,0.852342,0.972533,0.083810,0.718093,-20.180075,0.520087,0.552251,-16.731547,2.473276,4.903684
