rep_id,trial,acq_type,De_sigma_MoS,De_pi_MoS,p_be1_MoS,p_be2_MoS,p_bo1_MoS,p_bo2_MoS,p_bo3_MoS,p_bo4_MoS,p_bo5_MoS,p_bo6_MoS,p_ovun1_MoS,Dij_MoS,RvdW_MoS,Alfa_MoS,ro_sigma_MoS,Thetao_SMoS,Thetao_MoSMo,p_val1_SMoS,p_val1_MoSMo,p_val2_SMoS,p_val7_SMoS,p_val4_SMoS,Mo_RvdW,Mo_Dij,Mo_gamma,Mo_Alfa,Mo_gamma_w,S_RvdW,S_Dij,S_gamma,S_Alfa,S_gamma_w,Mo_p_boc4,Mo_p_boc3,Mo_p_boc5,Mo_p_ovun2,Mo_p_val3,Mo_p_val5,S_p_ovun2,S_p_val3,loss_eV
45,45,EI,33.041836,82.994380,0.093804,2.039630,-0.243270,5.067239,-0.227636,10.637804,-0.137085,2.617040,0.033802,0.068678,1.056786,8.355549,2.761175,66.596526,22.820400,122.067028,24.403053,0.872644,0.354245,1.765818,0.838823,0.318788,0.311538,29.696343,52.851794,1.599301,0.027066,0.837038,11.160520,0.891164,0.834033,0.073225,1.274997,-19.177530,0.708389,0.739400,-19.670375,3.235988,5.007494
46,46,EI,23.827724,109.457035,0.088100,1.144087,-0.126140,5.214810,-0.077300,5.415620,-0.204650,1.380650,0.077010,0.065560,0.992395,7.270301,2.839794,70.239268,23.587415,120.625820,27.701248,1.152581,0.431762,1.299832,0.915272,0.191400,0.362480,38.387345,41.858212,1.542621,0.043375,0.841380,10.104184,1.071065,1.467716,0.060267,0.605150,-23.375950,0.445200,0.686196,-14.307255,3.401508,5.099623
47,47,EI,37.598210,97.349893,0.197753,1.359325,-0.166072,5.772405,-0.198272,10.886250,-0.111435,4.670854,0.034766,0.071520,1.111141,7.361845,2.866545,67.594415,22.158568,126.429298,20.903981,0.712305,0.378877,1.789568,0.931967,0.242155,0.321785,31.238650,49.375999,1.562230,0.027066,0.850232,9.152643,0.870663,0.683475,0.045197,1.042309,-18.680209,0.605126,0.674252,-19.670375,2.470107,4.379942
48,48,EI,22.634519,125.531870,0.274044,0.643550,-0.159677,4.430302,-0.174377,4.831263,-0.285491,2.593435,0.057789,0.050660,1.022444,6.678360,3.106940,65.487057,24.789388,106.514320,27.492051,1.153664,0.512425,1.245442,0.894901,0.199332,0.329617,37.781636,45.869865,1.538904,0.038534,0.819123,8.540224,0.896851,1.007723,0.109440,0.749771,-23.375950,0.593844,0.663378,-12.274314,3.600250,4.599330
49,49,EI,37.598210,149.789552,0.239371,0.840161,-0.186933,5.235418,-0.262820,10.886250,-0.165106,4.548559,0.077010,0.070578,0.977224,8.515456,2.761175,69.849064,24.214389,151.240985,21.173388,1.085211,0.372331,1.789568,0.917093,0.318485,0.302279,33.519365,52.482912,1.624556,0.043375,0.713453,10.354920,0.864016,0.683475,0.109440,1.396500,-23.375950,0.566363,0.539232,-17.082018,3.375672,4.806585
50,50,EI,29.237731,135.804389,0.150051,1.476417,-0.195118,4.002484,-0.194020,10.694587,-0.225403,2.291442,0.032142,0.071520,0.977224,8.533460,3.052105,64.412798,24.059606,119.237594,16.880448,0.775944,0.386840,1.340461,0.860611,0.191400,0.342011,33.688205,55.299996,1.549484,0.029539,0.877287,9.666242,0.929728,1.208968,0.054220,1.168236,-19.228478,0.558542,0.694366,-12.993341,2.630430,4.881710
51,51,EI,32.220742,117.553388,0.271232,1.800399,-0.195617,4.184195,-0.219678,10.886250,-0.208354,2.714200,0.046619,0.069447,1.037059,6.992317,2.797316,65.899404,22.158568,155.732822,17.677700,0.850373,0.483551,1.564807,0.926366,0.330537,0.306503,29.619322,62.276852,1.616426,0.036301,0.827512,9.999930,0.964461,0.694938,0.109440,1.101874,-22.997577,0.601820,0.690862,-15.441215,3.378475,4.442474
52,52,EI,34.852983,149.105344,0.088100,2.188070,-0.243270,6.090164,-0.102126,4.354500,-0.202973,1.523859,0.034570,0.067952,1.059413,7.675957,3.075322,69.421851,24.065831,135.898559,21.648545,0.703014,0.493303,1.467988,0.848824,0.191922,0.351121,32.542686,57.430502,1.498610,0.028708,0.884695,10.323826,1.055447,0.983646,0.091879,0.710145,-20.217850,0.491255,0.582075,-18.396868,3.111559,5.235820
53,53,EI,29.052208,112.743543,0.129301,1.627230,-0.152539,3.976687,-0.142936,4.354500,-0.141213,4.694210,0.077010,0.051881,0.977224,7.139566,2.811093,65.915068,22.480593,131.481548,21.864033,0.727904,0.322140,1.789568,0.811972,0.289520,0.283355,38.387345,43.042372,1.560402,0.043309,0.784615,11.160520,1.035860,0.959384,0.083792,1.396500,-13.486125,0.445200,0.708322,-16.040213,2.246556,4.677494
54,54,EI,31.352000,114.331701,0.160585,1.780074,-0.163824,5.673945,-0.244562,5.147538,-0.107460,2.571793,0.059768,0.053581,1.087537,8.410549,2.865008,71.357872,25.655489,146.659914,20.685561,0.703014,0.443490,1.789568,0.910013,0.277072,0.294889,38.387345,61.266522,1.580017,0.033746,0.863989,10.622370,0.948385,0.726921,0.109440,0.660231,-23.243972,0.520220,0.651678,-19.336427,2.337503,4.884199
